claim,label,evidence,id,verifiable,original_id,model_answer,entail_prob,contradict_prob,similarity,faithfulness
Tie Your Mother Down was released in 2007.,REFUTES,"[['Tie_Your_Mother_Down', '8', ""On several occasions in the recent years , Brian May and Roger Taylor have played this song live with the Foo Fighters , including performances at Queen 's Rock and Roll Hall of Fame induction ceremony in 2001 , and the VH1 Rock Honors in 2006 .""]]",633922aad8cd96c5e3812afebe56cbc4,VERIFIABLE,209856,"
Use ONLY the text below to answer the claim.

TEXT:
[['Tie_Your_Mother_Down', '8', ""On several occasions in the recent years , Brian May and Roger Taylor have played this song live with the Foo Fighters , including performances at Queen 's Rock and Roll Hall of Fame induction ceremony in 2001 , and the VH1 Rock Honors in 2006 .""]] [['Reign_Over_Me', '0', 'Reign Over Me is a 2007 American drama film written and directed by Mike Binder , and produced by his brother Jack Binder .']] [['Knocked_Up', '4', 'The film was released on June 1 , 2007 to box office success , grossing $ 219 million worldwide , and acclaim from critics .']]

CLAIM:
Tie Your Mother Down was released in 2007.

Answer whether the claim is true or false and explain briefly.
True. Tie Your Mother Down was released in 2007, as stated in the first sentence of the given text. The song was performed by Brian May and Roger Taylor with the Foo Fighters, including performances at Queen's Rock and Roll Hall of Fame induction ceremony in 2001 and the VH1 Rock Honors in 2006. The second sentence of the text provides additional information about the movie Reign Over Me, which was written and directed by Mike Binder and produced by his brother Jack Binder. However, the claim specifically states that Tie Your Mother Down was released in",0.0,0.0,0.6006140112876892,0.2402456045150757
Matteo Renzi is Italian and was born in Florence.,NOT ENOUGH INFO,"[['Renzi_-LRB-surname-RRB-', '22', 'Matteo Renzi -LRB- born 1975 -RRB- , 56th Prime Minister of Italy']]",612be5782034160ae0b7d1c21539d740,NOT VERIFIABLE,172464,"
Use ONLY the text below to answer the claim.

TEXT:
[['Renzi_-LRB-surname-RRB-', '22', 'Matteo Renzi -LRB- born 1975 -RRB- , 56th Prime Minister of Italy']] [['Juventus_F.C.', '1', ""The club is the second oldest of its kind still active in the country after Genoa 's football section -LRB- 1893 -RRB- , has traditionally worn a black and white striped home kit since 1903 and has played its home matches in several grounds , being the latest the 41,507-capacity Juventus Stadium .""], ['Juventus_Stadium', '0', 'Juventus Stadium , sometimes simply known in Italy as the Stadium , is an all-seater football stadium in the Vallette borough of Turin , Italy , and the home of Serie A club Juventus Football Club .']] [['Luis_Fonsi', '0', 'Luis Alfonso Rodríguez López-Cepero , more commonly known by his stage name Luis Fonsi , -LRB- born April 15 , 1978 -RRB- is a Puerto Rican singer , songwriter and actor .']]

CLAIM:
Matteo Renzi is Italian and was born in Florence.

Answer whether the claim is true or false and explain briefly.
False. Matteo Renzi was not Italian and was born in Florence. He is actually from Modena, Italy, where he grew up and studied law before becoming the 56th Prime Minister of Italy. Renzi's father, Antonio Renzi, was also from Modena and they both served as members of the Italian government together. Therefore, while Renzi may have had some Italian roots due to his family background, he himself is not Italian. The claim about him being born in Florence is therefore false.",0.0,0.0,0.4533933401107788,0.18135733604431153
Ashley Graham was never on a magazine cover.,REFUTES,"[['Ashley_Graham_-LRB-model-RRB-', '6', 'In 2017 , Graham became the first plus-size model to appear on the covers of British and American Vogue .'], ['Vogue_-LRB-magazine-RRB-', '0', 'Vogue is an American fashion and lifestyle magazine made up of many components including fashion , beauty , culture , living , and runway .']]",65cc3f98bece69f9d3a724df9cac82d6,VERIFIABLE,126982,"
Use ONLY the text below to answer the claim.

TEXT:
[['Ashley_Graham_-LRB-model-RRB-', '6', 'In 2017 , Graham became the first plus-size model to appear on the covers of British and American Vogue .']] [['Ashley_Graham_-LRB-model-RRB-', '4', 'In 2016 , she became the first plus-size model to appear on the cover of the Sports Illustrated Swimsuit Issue .'], ['Sports_Illustrated_Swimsuit_Issue', '0', 'The Sports Illustrated Swimsuit Issue is published annually by American Sports Illustrated magazine .'], ['Sports_Illustrated_Swimsuit_Issue', '2', ""All models featured on the cover of the swimsuit issue in the magazine 's history have been women .""]] [['Ashley_Graham_-LRB-model-RRB-', '6', 'In 2017 , Graham became the first plus-size model to appear on the covers of British and American Vogue .'], ['Vogue_-LRB-magazine-RRB-', '0', 'Vogue is an American fashion and lifestyle magazine made up of many components including fashion , beauty , culture , living , and runway .']]

CLAIM:
Ashley Graham was never on a magazine cover.

Answer whether the claim is true or false and explain briefly.
False. Ashley Graham has appeared on the covers of both British and American Vogue magazines, which means she has been on at least one magazine cover. The given text states that in 2017, Graham became the first plus-size model to appear on the covers of British and American Vogue, indicating that she has indeed been on at least one magazine cover. Additionally, the mention of her appearance on the covers of Sports Illustrated Swimsuit Issue in 2016 further supports the claim that she has been on at least one magazine cover. Therefore, the claim that Ashley Graham was never on",0.0,0.5714556574821472,0.8150485754013062,0.15458273291587832
Luis Fonsi is Puerto Rican.,SUPPORTS,"[['Luis_Fonsi', '0', 'Luis Alfonso Rodríguez López-Cepero , more commonly known by his stage name Luis Fonsi , -LRB- born April 15 , 1978 -RRB- is a Puerto Rican singer , songwriter and actor .']]",1aa8074ed9e9c0e067ffe4e8549ba980,VERIFIABLE,75871,"
Use ONLY the text below to answer the claim.

TEXT:
[['Luis_Fonsi', '0', 'Luis Alfonso Rodríguez López-Cepero , more commonly known by his stage name Luis Fonsi , -LRB- born April 15 , 1978 -RRB- is a Puerto Rican singer , songwriter and actor .']] [['Despacito', '0', ""`` Despacito '' -LRB- -LSB- despa ` sito -RSB- ; English : `` Slowly '' -RRB- is a single by Puerto Rican pop artist Luis Fonsi featuring Puerto Rican rapper Daddy Yankee from the former 's upcoming studio album .""]] [['José_Ferrer_-LRB-disambiguation-RRB-', '7', 'José Ferrer Canales -LRB- 1913 -- 2005 -RRB- , Puerto Rican educator , writer and pro-independence political activist']]

CLAIM:
Luis Fonsi is Puerto Rican.

Answer whether the claim is true or false and explain briefly.
True. Luis Fonsi was born on April 15, 1978, in Puerto Rico, which makes him a Puerto Rican singer, songwriter, and actor. He is also associated with the Puerto Rican music industry through his popular singles such as ""Despacito"" featuring Daddy Yankee and his upcoming studio album. Therefore, the claim that Luis Fonsi is Puerto Rican is accurate.",0.0,0.0,0.7153237462043762,0.2861294984817505
Murda Beatz is a vegan.,NOT ENOUGH INFO,"[['Coke_N_Butter', '2', 'The project consists of twelve tracks , with guest appearances from 2 Chainz , T.I. , YG , Remy Ma , and Quavo , with production from BeatMonsters , BricksOnDaBeat , Go Grizzly , ITrez Beats , Jereme Jay , Juice 808 , LBeatz , Murda Beatz , OG Parker , Yung Lan , and Zaytoven .']]",77fd25cfc2a6099095b27aeb11a6d086,NOT VERIFIABLE,135082,"
Use ONLY the text below to answer the claim.

TEXT:
[['Coke_N_Butter', '2', 'The project consists of twelve tracks , with guest appearances from 2 Chainz , T.I. , YG , Remy Ma , and Quavo , with production from BeatMonsters , BricksOnDaBeat , Go Grizzly , ITrez Beats , Jereme Jay , Juice 808 , LBeatz , Murda Beatz , OG Parker , Yung Lan , and Zaytoven .']] [['Cheese_in_the_Trap_-LRB-TV_series-RRB-', '0', 'Cheese in the Trap is a South Korean television series starring Park Hae-jin , Kim Go-eun , Seo Kang-joon and Lee Sung-kyung .']] [['Despacito', '12', 'On March 17 , 2017 , both a solo pop version and a salsa version featuring Puerto Rican musician Victor Manuelle were released .']]

CLAIM:
Murda Beatz is a vegan.

Answer whether the claim is true or false and explain briefly.
False. Murda Beatz is not a vegan. The text states that he is a producer for the song ""Despacito,"" which features a salsa version of the song, but there is no mention of his dietary restrictions or beliefs regarding food. Therefore, it can be inferred that Murda Beatz is not a vegan, as this information is not provided in the given text.",0.0,0.0,0.46383145451545715,0.18553258180618287
"Michael Vick was born on July 4th, 1776.",REFUTES,"[['Michael_Vick', '0', 'Michael Dwayne Vick -LRB- born June 26 , 1980 -RRB- is a former American football quarterback who played 13 seasons in the National Football League , primarily with the Atlanta Falcons and the Philadelphia Eagles .']]",4091e5410615079cfd7490f273ee37f2,VERIFIABLE,170413,"
Use ONLY the text below to answer the claim.

TEXT:
[['Michael_Vick', '0', 'Michael Dwayne Vick -LRB- born June 26 , 1980 -RRB- is a former American football quarterback who played 13 seasons in the National Football League , primarily with the Atlanta Falcons and the Philadelphia Eagles .']] [['Michael_Vick', '0', 'Michael Dwayne Vick -LRB- born June 26 , 1980 -RRB- is a former American football quarterback who played 13 seasons in the National Football League , primarily with the Atlanta Falcons and the Philadelphia Eagles .']] [['Michael_Vick', '0', 'Michael Dwayne Vick -LRB- born June 26 , 1980 -RRB- is a former American football quarterback who played 13 seasons in the National Football League , primarily with the Atlanta Falcons and the Philadelphia Eagles .']]

CLAIM:
Michael Vick was born on July 4th, 1776.

Answer whether the claim is true or false and explain briefly.
False. Michael Vick was born on June 26, 1980, which is not July 4th. The claim that Michael Vick was born on July 4th, 1776, is incorrect as he was actually born on June 26, 1980. Therefore, the claim is false. Michael Vick's birthdate is consistent with his birth year (1980) and the fact that he is a former American football quarterback who played for the Atlanta Falcons and the Philadelphia Eagles, which are both teams based in the United States.",0.0,0.0,0.7223019003868103,0.2889207601547241
Libya is the largest country on its continent.,REFUTES,"[['Libya', '2', 'With an area of almost 1.8 e6km2 , Libya is the fourth largest country in Africa , and is the 16th largest country in the world .'], ['Africa', '0', ""Africa is the world 's second-largest and second-most-populous continent .""]]",15a933c3cd7a7f01d5743574ce0191dc,VERIFIABLE,218235,"
Use ONLY the text below to answer the claim.

TEXT:
[['Libya', '2', 'With an area of almost 1.8 e6km2 , Libya is the fourth largest country in Africa , and is the 16th largest country in the world .'], ['Africa', '0', ""Africa is the world 's second-largest and second-most-populous continent .""]] [['Helmand_Province', '0', 'Helmand -LRB- -LSB- ˈhɛlmənd -RSB- ; Pashto/Dari : هلمند -RRB- , also known as Hillmand , and , in ancient times , as Hermand and Hethumand is one of the 34 provinces of Afghanistan , in the south of the country .'], ['Afghanistan', '0', 'Afghanistan -LRB- -LSB- æfˈɡænᵻstæn -RSB- Pashto/Dari : , Afġānistān -RRB- , officially the Islamic Republic of Afghanistan , is a landlocked country located within South Asia and Central Asia .']] [['Chile', '0', 'Chile , is a South American country occupying a long , narrow strip of land between the Andes to the east and the Pacific Ocean to the west .']]

CLAIM:
Libya is the largest country on its continent.

Answer whether the claim is true or false and explain briefly.
False. While Libya has an area of almost 1.8 e6km2, it ranks 16th among the largest countries in the world, not the largest country on its continent. Africa, with an area of almost 1.8 e6km2, is the second-largest continent in the world, followed by Russia and Canada. Therefore, Libya's ranking is lower than that of Africa.",0.0,0.0,0.541251003742218,0.2165004014968872
Vedam stars a horse.,NOT ENOUGH INFO,"[['Vedam', '5', 'Vedam Jaishankar , cricket correspondent']]",7af91ef2134f66bc53be04edc514e8ec,NOT VERIFIABLE,10955,"
Use ONLY the text below to answer the claim.

TEXT:
[['Horse', '2', 'The horse has evolved over the past 45 to 55 million years from a small multi-toed creature , Eohippus , into the large , single-toed animal of today .']] [['Vedam', '5', 'Vedam Jaishankar , cricket correspondent']] [['Veeru_Devgan', '0', 'Veeru Devgan is an Indian stunt and action choreographer and film director in Bollywood .']]

CLAIM:
Vedam stars a horse.

Answer whether the claim is true or false and explain briefly.
False. The given text does not mention any movie or character named Vedam that features a horse as its star. Instead, it talks about Vedam Jaishankar, a cricket correspondent, and Veeru Devgan, an Indian stunt and action choreographer and film director in Bollywood. Therefore, there is no information provided to support the claim that Vedam stars a horse.",0.0,0.0,0.34217822551727295,0.1368712902069092
Epistemology attempts to understand the justification for social inequalities.,NOT ENOUGH INFO,"[['Contested_ideological_terrain', '1', 'Instead of looking at sport as a purely positive force , where individuals and groups of people can use sport as a means of achieving social mobility and success , or as a cultural practice that is solely detrimental , where sport reinforces the social inequalities in our world , this framework looks at sport as something that encompasses both .']]",7b89a7f5d7c2da059c1a3197d2656195,NOT VERIFIABLE,182453,"
Use ONLY the text below to answer the claim.

TEXT:
[['Theory_of_justification', '0', 'Theory of justification is a part of epistemology that attempts to understand the justification of propositions and beliefs .']] [['Contested_ideological_terrain', '1', 'Instead of looking at sport as a purely positive force , where individuals and groups of people can use sport as a means of achieving social mobility and success , or as a cultural practice that is solely detrimental , where sport reinforces the social inequalities in our world , this framework looks at sport as something that encompasses both .']] [['Folklore', '0', 'Folklore is the body of expressive culture shared by a particular group of people ; it encompasses the traditions common to that culture , subculture or group .'], ['Folklore', '1', 'These include oral traditions such as tales , proverbs and jokes .']]

CLAIM:
Epistemology attempts to understand the justification for social inequalities.

Answer whether the claim is true or false and explain briefly.
True. Epistemology attempts to understand the justification for social inequalities by examining the theory of justification, which is a part of epistemology that focuses on understanding the justification of propositions and beliefs. In the context of social inequality, the theory of justification seeks to identify the reasons why certain groups or individuals are more likely to hold and perpetuate social inequalities than others. By exploring the justifications underlying these beliefs, we can gain insights into the ways in which social institutions, practices, and norms contribute to and reinforce these inequalities. This understanding can help us critically evaluate the validity and implications of various claims about",0.0,0.457842081785202,0.6880782246589661,0.1378786653280258
Tom DeLonge formed a cult.,NOT ENOUGH INFO,"[['Greatest_Hits_-LRB-Blink-182_album-RRB-', '5', 'In the interim , Hoppus and Barker continued playing together in +44 , and DeLonge formed his new outfit Angels & Airwaves .']]",7c0c753983dfddbbf6abcf923a3bc8dc,NOT VERIFIABLE,200388,"
Use ONLY the text below to answer the claim.

TEXT:
[['Greatest_Hits_-LRB-Blink-182_album-RRB-', '5', 'In the interim , Hoppus and Barker continued playing together in +44 , and DeLonge formed his new outfit Angels & Airwaves .']] [['Charles_Manson', '0', 'Charles Milles Manson -LRB- born Charles Milles Maddox , November 12 , 1934 -RRB- is an American criminal and former cult leader who led what became known as the Manson Family , a quasi-commune that arose in California in the late 1960s .']] [['Billie_Joe_Armstrong', '0', 'Billie Joe Armstrong -LRB- born February 17 , 1972 -RRB- is an American musician , singer , songwriter and actor who is best known as the lead vocalist , primary songwriter , and guitarist of the punk rock band Green Day , which he co-founded with Mike Dirnt .']]

CLAIM:
Tom DeLonge formed a cult.

Answer whether the claim is true or false and explain briefly.
False. Tom DeLonge did not form a cult, but rather formed his new outfit Angels & Airwaves, which was a part of the music industry. The claim is incorrect because while DeLonge played with Blink-182 and later formed Angels & Airwaves, he is not associated with any organized religious group or cult leadership. Instead, Angels & Airwaves is a musical project by DeLonge that focuses on alternative rock, pop, and electronic music. The Manson Family, on the other hand, was a cult organization led by Charles Manson in the late 1960",0.0,0.0,0.562174916267395,0.224869966506958
